symbol,symbol_era_id,resolution_status,resolution_disposition,evidence_tier,research_route,instrument_type,historical_issuer_name,event_type,event_date,successor,primary_source_url,secondary_source_url,source_note,resolver
MKTWW,MKTWW#001,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,warrant_unit_right_security_action,probable_warrant,Parent root MKTW,warrant_unit_right_terminal_action,20220929,,local:parent-root-current-evidence,,Local terminal disposition: MKTWW linked to parent/root symbol MKTW with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
MLACW,MLACW#001,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,warrant_unit_right_security_action,probable_warrant,Parent root MLAC,warrant_unit_right_terminal_action,20230616,,local:parent-root-current-evidence,,Local terminal disposition: MLACW linked to parent/root symbol MLAC with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
MRDNW,MRDNW#001,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,warrant_unit_right_security_action,probable_warrant,Parent root MRDN,warrant_unit_right_terminal_action,20170206,,local:parent-root-current-evidence,,Local terminal disposition: MRDNW linked to parent/root symbol MRDN with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
MRDNW,MRDNW#003,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,warrant_unit_right_security_action,probable_warrant,Parent root MRDN,warrant_unit_right_terminal_action,20170403,,local:parent-root-current-evidence,,Local terminal disposition: MRDNW linked to parent/root symbol MRDN with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
MRDNW,MRDNW#005,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,warrant_unit_right_security_action,probable_warrant,Parent root MRDN,warrant_unit_right_terminal_action,20170626,,local:parent-root-current-evidence,,Local terminal disposition: MRDNW linked to parent/root symbol MRDN with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
MRDNW,MRDNW#006,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,warrant_unit_right_security_action,probable_warrant,Parent root MRDN,warrant_unit_right_terminal_action,20170826,,local:parent-root-current-evidence,,Local terminal disposition: MRDNW linked to parent/root symbol MRDN with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
MRDNW,MRDNW#007,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,warrant_unit_right_security_action,probable_warrant,Parent root MRDN,warrant_unit_right_terminal_action,20170925,,local:parent-root-current-evidence,,Local terminal disposition: MRDNW linked to parent/root symbol MRDN with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
MRDNW,MRDNW#008,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,warrant_unit_right_security_action,probable_warrant,Parent root MRDN,warrant_unit_right_terminal_action,20180430,,local:parent-root-current-evidence,,Local terminal disposition: MRDNW linked to parent/root symbol MRDN with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
MRDNW,MRDNW#004,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,warrant_unit_right_security_action,probable_warrant,Parent root MRDN,warrant_unit_right_terminal_action,20170505,,local:parent-root-current-evidence,,Local terminal disposition: MRDNW linked to parent/root symbol MRDN with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
MRDNW,MRDNW#002,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,warrant_unit_right_security_action,probable_warrant,Parent root MRDN,warrant_unit_right_terminal_action,20170303,,local:parent-root-current-evidence,,Local terminal disposition: MRDNW linked to parent/root symbol MRDN with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
